id_jogo,round,fase,grupo,data,horario_utc,cidade,time_casa,time_fora,realizado,gols_casa,gols_fora,ht_casa,ht_fora,et_casa,et_fora,pen_casa,pen_fora,vencedor
,Matchday 16,Group I,Group I,2026-06-26,15:00 UTC-4,Boston (Foxborough),Norway,France,False,,,,,,,,,
,Matchday 16,Group I,Group I,2026-06-26,15:00 UTC-4,Toronto,Senegal,Iraq,False,,,,,,,,,
,Matchday 6,Group J,Group J,2026-06-16,20:00 UTC-5,Kansas City,Argentina,Algeria,True,3.0,0.0,1.0,0.0,,,,,Argentina
,Matchday 6,Group J,Group J,2026-06-16,21:00 UTC-7,San Francisco Bay Area (Santa Clara),Austria,Jordan,True,3.0,1.0,1.0,0.0,,,,,Austria
,Matchday 12,Group J,Group J,2026-06-22,12:00 UTC-5,Dallas (Arlington),Argentina,Austria,True,2.0,0.0,1.0,0.0,,,,,Argentina
,Matchday 12,Group J,Group J,2026-06-22,20:00 UTC-7,San Francisco Bay Area (Santa Clara),Jordan,Algeria,False,,,,,,,,,
,Matchday 17,Group J,Group J,2026-06-27,21:00 UTC-5,Kansas City,Algeria,Austria,False,,,,,,,,,
,Matchday 17,Group J,Group J,2026-06-27,21:00 UTC-5,Dallas (Arlington),Jordan,Argentina,False,,,,,,,,,
,Matchday 7,Group K,Group K,2026-06-17,12:00 UTC-5,Houston,Portugal,DR Congo,True,1.0,1.0,1.0,1.0,,,,,Empate
,Matchday 7,Group K,Group K,2026-06-17,20:00 UTC-6,Mexico City,Uzbekistan,Colombia,True,1.0,3.0,0.0,1.0,,,,,Colombia
,Matchday 13,Group K,Group K,2026-06-23,12:00 UTC-5,Houston,Portugal,Uzbekistan,False,,,,,,,,,
,Matchday 13,Group K,Group K,2026-06-23,20:00 UTC-6,Guadalajara (Zapopan),Colombia,DR Congo,False,,,,,,,,,
,Matchday 17,Group K,Group K,2026-06-27,19:30 UTC-4,Miami (Miami Gardens),Colombia,Portugal,False,,,,,,,,,
,Matchday 17,Group K,Group K,2026-06-27,19:30 UTC-4,Atlanta,DR Congo,Uzbekistan,False,,,,,,,,,
,Matchday 7,Group L,Group L,2026-06-17,15:00 UTC-5,Dallas (Arlington),England,Croatia,True,4.0,2.0,2.0,2.0,,,,,England
,Matchday 7,Group L,Group L,2026-06-17,19:00 UTC-4,Toronto,Ghana,Panama,True,1.0,0.0,0.0,0.0,,,,,Ghana
,Matchday 13,Group L,Group L,2026-06-23,16:00 UTC-4,Boston (Foxborough),England,Ghana,False,,,,,,,,,
,Matchday 13,Group L,Group L,2026-06-23,19:00 UTC-4,Toronto,Panama,Croatia,False,,,,,,,,,
,Matchday 17,Group L,Group L,2026-06-27,17:00 UTC-4,New York/New Jersey (East Rutherford),Panama,England,False,,,,,,,,,
,Matchday 17,Group L,Group L,2026-06-27,17:00 UTC-4,Philadelphia,Croatia,Ghana,False,,,,,,,,,
73,Round of 32,Round of 32,,2026-06-28,12:00 UTC-7,Los Angeles (Inglewood),2A,2B,False,,,,,,,,,
74,Round of 32,Round of 32,,2026-06-29,16:30 UTC-4,Boston (Foxborough),Germany,3A/B/C/D/F,False,,,,,,,,,
75,Round of 32,Round of 32,,2026-06-29,19:00 UTC-6,Monterrey (Guadalupe),1F,2C,False,,,,,,,,,
76,Round of 32,Round of 32,,2026-06-29,12:00 UTC-5,Houston,1C,2F,False,,,,,,,,,
77,Round of 32,Round of 32,,2026-06-30,17:00 UTC-4,New York/New Jersey (East Rutherford),1I,3C/D/F/G/H,False,,,,,,,,,
78,Round of 32,Round of 32,,2026-06-30,12:00 UTC-5,Dallas (Arlington),2E,2I,False,,,,,,,,,
79,Round of 32,Round of 32,,2026-06-30,19:00 UTC-6,Mexico City,Mexico,3C/E/F/H/I,False,,,,,,,,,
80,Round of 32,Round of 32,,2026-07-01,12:00 UTC-4,Atlanta,1L,3E/H/I/J/K,False,,,,,,,,,
81,Round of 32,Round of 32,,2026-07-01,17:00 UTC-7,San Francisco Bay Area (Santa Clara),USA,3B/E/F/I/J,False,,,,,,,,,
82,Round of 32,Round of 32,,2026-07-01,13:00 UTC-7,Seattle,1G,3A/E/H/I/J,False,,,,,,,,,
83,Round of 32,Round of 32,,2026-07-02,19:00 UTC-4,Toronto,2K,2L,False,,,,,,,,,
84,Round of 32,Round of 32,,2026-07-02,12:00 UTC-7,Los Angeles (Inglewood),1H,2J,False,,,,,,,,,
85,Round of 32,Round of 32,,2026-07-02,20:00 UTC-7,Vancouver,1B,3E/F/G/I/J,False,,,,,,,,,
86,Round of 32,Round of 32,,2026-07-03,18:00 UTC-4,Miami (Miami Gardens),1J,2H,False,,,,,,,,,
87,Round of 32,Round of 32,,2026-07-03,20:30 UTC-5,Kansas City,1K,3D/E/I/J/L,False,,,,,,,,,
88,Round of 32,Round of 32,,2026-07-03,13:00 UTC-5,Dallas (Arlington),2D,2G,False,,,,,,,,,
89,Round of 16,Round of 16,,2026-07-04,17:00 UTC-4,Philadelphia,W74,W77,False,,,,,,,,,
90,Round of 16,Round of 16,,2026-07-04,12:00 UTC-5,Houston,W73,W75,False,,,,,,,,,
91,Round of 16,Round of 16,,2026-07-05,16:00 UTC-4,New York/New Jersey (East Rutherford),W76,W78,False,,,,,,,,,
92,Round of 16,Round of 16,,2026-07-05,18:00 UTC-6,Mexico City,W79,W80,False,,,,,,,,,
93,Round of 16,Round of 16,,2026-07-06,14:00 UTC-5,Dallas (Arlington),W83,W84,False,,,,,,,,,
94,Round of 16,Round of 16,,2026-07-06,17:00 UTC-7,Seattle,W81,W82,False,,,,,,,,,
95,Round of 16,Round of 16,,2026-07-07,12:00 UTC-4,Atlanta,W86,W88,False,,,,,,,,,
96,Round of 16,Round of 16,,2026-07-07,13:00 UTC-7,Vancouver,W85,W87,False,,,,,,,,,
97,Quarter-final,Quarter-final,,2026-07-09,16:00 UTC-4,Boston (Foxborough),W89,W90,False,,,,,,,,,
98,Quarter-final,Quarter-final,,2026-07-10,12:00 UTC-7,Los Angeles (Inglewood),W93,W94,False,,,,,,,,,
99,Quarter-final,Quarter-final,,2026-07-11,17:00 UTC-4,Miami (Miami Gardens),W91,W92,False,,,,,,,,,
100,Quarter-final,Quarter-final,,2026-07-11,20:00 UTC-5,Kansas City,W95,W96,False,,,,,,,,,
101,Semi-final,Semi-final,,2026-07-14,14:00 UTC-5,Dallas (Arlington),W97,W98,False,,,,,,,,,
102,Semi-final,Semi-final,,2026-07-15,15:00 UTC-4,Atlanta,W99,W100,False,,,,,,,,,
103,Match for third place,Match for third place,,2026-07-18,17:00 UTC-4,Miami (Miami Gardens),L101,L102,False,,,,,,,,,
104,Final,Final,,2026-07-19,15:00 UTC-4,New York/New Jersey (East Rutherford),W101,W102,False,,,,,,,,,
