round,fase,grupo,data,time_casa,time_fora,time_marcador,jogador,minuto,penalti,gol_contra
Matchday 11,Group G,Group G,2026-06-21,New Zealand,Egypt,Egypt,Mohamed Salah,67,False,False
Matchday 11,Group G,Group G,2026-06-21,New Zealand,Egypt,Egypt,Trézéguet,82,False,False
Matchday 5,Group H,Group H,2026-06-15,Saudi Arabia,Uruguay,Saudi Arabia,Abdulelah Al-Amri,41,False,False
Matchday 5,Group H,Group H,2026-06-15,Saudi Arabia,Uruguay,Uruguay,Maxi Araújo,80,False,False
Matchday 11,Group H,Group H,2026-06-21,Spain,Saudi Arabia,Spain,Lamine Yamal,10,False,False
Matchday 11,Group H,Group H,2026-06-21,Spain,Saudi Arabia,Spain,Mikel Oyarzabal,21,False,False
Matchday 11,Group H,Group H,2026-06-21,Spain,Saudi Arabia,Spain,Mikel Oyarzabal,24,False,False
Matchday 11,Group H,Group H,2026-06-21,Spain,Saudi Arabia,Spain,Hassan Al-Tambakti,49,False,False
Matchday 11,Group H,Group H,2026-06-21,Uruguay,Cape Verde,Uruguay,Maxi Araújo,44,False,False
Matchday 11,Group H,Group H,2026-06-21,Uruguay,Cape Verde,Uruguay,Agustín Cano,45+6,False,False
Matchday 11,Group H,Group H,2026-06-21,Uruguay,Cape Verde,Cape Verde,Kevin Pina,21,False,False
Matchday 11,Group H,Group H,2026-06-21,Uruguay,Cape Verde,Cape Verde,Hélio Varela,61,False,False
Matchday 6,Group I,Group I,2026-06-16,France,Senegal,France,Kylian Mbappé,66,False,False
Matchday 6,Group I,Group I,2026-06-16,France,Senegal,France,Bradley Barcola,82,False,False
Matchday 6,Group I,Group I,2026-06-16,France,Senegal,France,Kylian Mbappé,90+6,False,False
Matchday 6,Group I,Group I,2026-06-16,France,Senegal,Senegal,Ibrahim Mbaye,90+5,False,False
Matchday 6,Group I,Group I,2026-06-16,Iraq,Norway,Iraq,Aymen Hussein,39,False,False
Matchday 6,Group I,Group I,2026-06-16,Iraq,Norway,Norway,Erling Haaland,29,False,False
Matchday 6,Group I,Group I,2026-06-16,Iraq,Norway,Norway,Erling Haaland,43,False,False
Matchday 6,Group I,Group I,2026-06-16,Iraq,Norway,Norway,Leo Østigard,76,False,False
Matchday 6,Group I,Group I,2026-06-16,Iraq,Norway,Norway,Aymen Hussein,90+6,False,False
Matchday 6,Group J,Group J,2026-06-16,Argentina,Algeria,Argentina,Lionel Messi,17,False,False
Matchday 6,Group J,Group J,2026-06-16,Argentina,Algeria,Argentina,Lionel Messi,60,False,False
Matchday 6,Group J,Group J,2026-06-16,Argentina,Algeria,Argentina,Lionel Messi,76,False,False
Matchday 6,Group J,Group J,2026-06-16,Austria,Jordan,Austria,Romano Schmid,21,False,False
Matchday 6,Group J,Group J,2026-06-16,Austria,Jordan,Austria,Yazan Al-Arab,76,False,False
Matchday 6,Group J,Group J,2026-06-16,Austria,Jordan,Austria,Marko Arnautovic,90+12,True,False
Matchday 6,Group J,Group J,2026-06-16,Austria,Jordan,Jordan,Ali Olwan,50,False,False
Matchday 12,Group J,Group J,2026-06-22,Argentina,Austria,Argentina,Lionel Messi,38,False,False
Matchday 12,Group J,Group J,2026-06-22,Argentina,Austria,Argentina,Lionel Messi,90+5,False,False
Matchday 7,Group K,Group K,2026-06-17,Portugal,DR Congo,Portugal,João Neves,6,False,False
Matchday 7,Group K,Group K,2026-06-17,Portugal,DR Congo,DR Congo,Yoane Wissa,45+5,False,False
Matchday 7,Group K,Group K,2026-06-17,Uzbekistan,Colombia,Uzbekistan,Abbosbek Fayzullaev,60,False,False
Matchday 7,Group K,Group K,2026-06-17,Uzbekistan,Colombia,Colombia,Daniel Muñoz,40,False,False
Matchday 7,Group K,Group K,2026-06-17,Uzbekistan,Colombia,Colombia,Luis Díaz,65,False,False
Matchday 7,Group K,Group K,2026-06-17,Uzbekistan,Colombia,Colombia,Jáminton Campaz,90+9,False,False
Matchday 7,Group L,Group L,2026-06-17,England,Croatia,England,Harry Kane,12,True,False
Matchday 7,Group L,Group L,2026-06-17,England,Croatia,England,Harry Kane,42,False,False
Matchday 7,Group L,Group L,2026-06-17,England,Croatia,England,Jude Bellingham,47,False,False
Matchday 7,Group L,Group L,2026-06-17,England,Croatia,England,Marcus Rashford,85,False,False
Matchday 7,Group L,Group L,2026-06-17,England,Croatia,Croatia,Martin Baturina,36,False,False
Matchday 7,Group L,Group L,2026-06-17,England,Croatia,Croatia,Petar Musa,45+5,False,False
Matchday 7,Group L,Group L,2026-06-17,Ghana,Panama,Ghana,Caleb Yirenkyi,90+5,False,False
